epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,408.825,1.13458,1.0601,0.21603,0.63772,1.30488,0.94544,0.8,0.90683,0.68361,0.94544,0.8,0.9087,0.84589,1.03493,1.43272,0.15931,1.106,1.25677,0.000949524,0.000949524,0.000949524
60,415.642,1.11094,0.93853,0.2003,0.64135,1.26273,0.96761,1,0.995,0.65814,0.96761,1,0.995,0.93777,1.48716,0.77821,0.06941,0.91341,1.50319,0.0009478,0.0009478,0.0009478
61,422.416,1.12217,1.02458,0.21457,0.63039,1.27523,0.96405,1,0.99134,0.70111,0.96405,1,0.99134,0.8915,1.3157,0.84369,0.06171,0.72398,1.40647,0.000946048,0.000946048,0.000946048
62,429.508,1.11371,1.00449,0.18932,0.61729,1.29007,0.94714,1,0.9903,0.73367,0.94714,1,0.9903,0.93698,1.16054,0.59095,0.04915,0.86143,1.30579,0.00094427,0.00094427,0.00094427
63,436.308,1.1214,1.08401,0.19505,0.59635,1.2948,0.93374,0.975,0.98318,0.68093,0.93374,0.975,0.98318,0.8768,1.32434,0.83587,0.04783,0.80744,1.44901,0.000942464,0.000942464,0.000942464
64,442.815,1.16326,1.08754,0.19162,0.63828,1.32483,0.92279,0.8964,0.95085,0.47942,0.88205,0.95,0.9711,0.80961,2.04825,0.98415,0.0594,1.38156,1.96943,0.000940631,0.000940631,0.000940631
65,449.315,1.16063,1.08715,0.2025,0.63073,1.30566,0.97576,0.7,0.82969,0.39458,0.83047,0.6,0.6778,0.47268,2.11023,2.9072,0.11432,1.32937,2.04187,0.000938772,0.000938772,0.000938772
66,456.454,1.11254,1.01134,0.1994,0.63158,1.29908,0.96274,1,0.995,0.72114,0.96274,1,0.995,0.91763,1.14699,0.69148,0.05485,0.70526,1.3095,0.000936886,0.000936886,0.000936886
67,463.5,1.10643,0.95104,0.18108,0.62876,1.27588,0.99777,1,0.995,0.69603,0.99777,1,0.995,0.93158,1.32874,0.73132,0.0609,0.58185,1.42366,0.000934973,0.000934973,0.000934973
68,470.343,1.12059,0.96176,0.16688,0.60646,1.25175,0.99787,1,0.995,0.70398,0.99787,1,0.995,0.91144,1.31394,0.73158,0.06891,0.57763,1.39351,0.000933033,0.000933033,0.000933033
69,477.164,1.07777,0.86413,0.17094,0.60436,1.25415,0.99665,1,0.995,0.54023,0.99665,1,0.995,0.84985,1.75493,1.24093,0.09219,0.81349,1.60056,0.000931067,0.000931067,0.000931067
70,484.215,1.05613,0.95835,0.20324,0.57903,1.22739,0.99542,1,0.995,0.50317,0.99542,1,0.995,0.88857,1.95298,0.8849,0.06304,0.745,1.82841,0.000929075,0.000929075,0.000929075
