epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,402.328,1.03192,0.68095,0.14226,0.57133,1.21815,0.98179,1,0.995,0.87967,0.98179,1,0.995,0.94011,0.56799,0.39081,0.01724,0.52356,1.02551,0.000956145,0.000956145,0.000956145
56,409.657,1.03672,0.65246,0.14094,0.60631,1.22155,0.98694,1,0.995,0.83987,0.98694,1,0.995,0.995,0.65697,0.31797,0.02561,0.55195,1.03733,0.000954531,0.000954531,0.000954531
57,416.9,1.00219,0.60324,0.14785,0.58004,1.16243,0.98143,1,0.995,0.87412,0.98143,1,0.995,0.94031,0.6797,0.26198,0.02505,0.49937,1.04605,0.000952889,0.000952889,0.000952889
58,424.32,0.94888,0.58241,0.13935,0.55698,1.16422,0.98674,1,0.995,0.79665,0.98674,1,0.995,0.88038,0.61548,0.36636,0.03554,0.52459,1.04902,0.00095122,0.00095122,0.00095122
59,431.971,0.97959,0.57516,0.13172,0.54889,1.18452,0.99106,1,0.995,0.79547,0.99106,1,0.995,0.97406,0.6345,0.24426,0.04056,0.57881,1.09131,0.000949524,0.000949524,0.000949524
60,439.799,0.98292,0.63139,0.1417,0.54519,1.17682,0.99044,1,0.995,0.86915,0.99044,1,0.995,0.95931,0.58921,0.27435,0.03774,0.42085,1.10128,0.0009478,0.0009478,0.0009478
61,447.058,0.98493,0.56201,0.14054,0.55606,1.18502,0.99101,1,0.995,0.86025,0.99101,1,0.995,0.995,0.57481,0.2097,0.02185,0.39962,1.06743,0.000946048,0.000946048,0.000946048
62,454.238,0.96574,0.67108,0.1631,0.558,1.16075,0.98905,1,0.995,0.80802,0.98905,1,0.995,0.95292,0.75171,0.42127,0.01412,0.36609,1.14106,0.00094427,0.00094427,0.00094427
63,461.363,0.95998,0.69579,0.12262,0.54168,1.16989,0.99088,1,0.995,0.81161,0.99088,1,0.995,0.94758,0.81584,0.26894,0.02055,0.43493,1.16298,0.000942464,0.000942464,0.000942464
64,468.43,0.98158,0.68198,0.13872,0.57812,1.19383,0.99128,1,0.995,0.90261,0.99128,1,0.995,0.995,0.51877,0.22207,0.01326,0.40779,1.00783,0.000940631,0.000940631,0.000940631
65,475.75,0.899,0.52773,0.13513,0.54214,1.15881,0.99155,1,0.995,0.90071,0.99155,1,0.995,0.995,0.50498,0.22192,0.01266,0.39724,1.00315,0.000938772,0.000938772,0.000938772
66,483.088,0.9678,0.57346,0.12309,0.54378,1.18768,0.99118,1,0.995,0.84694,0.99118,1,0.995,0.96601,0.67674,0.26145,0.02097,0.43949,1.11007,0.000936886,0.000936886,0.000936886
67,490.545,0.97542,0.58794,0.13397,0.5614,1.16968,0.96898,1,0.995,0.84586,0.96898,1,0.995,0.96867,0.62828,0.30848,0.01656,0.41474,1.07722,0.000934973,0.000934973,0.000934973
68,497.815,0.90347,0.53353,0.13556,0.52586,1.1449,0.98983,1,0.995,0.90195,0.98983,1,0.995,0.97159,0.56781,0.19536,0.01718,0.40229,1.0361,0.000933033,0.000933033,0.000933033
69,504.997,0.9539,0.60383,0.14165,0.54026,1.17539,0.98769,1,0.995,0.84222,0.98769,1,0.995,0.995,0.7026,0.23009,0.01571,0.46518,1.07148,0.000931067,0.000931067,0.000931067
70,512.366,0.93648,0.63475,0.13684,0.54481,1.16036,0.98858,1,0.995,0.80992,0.98858,1,0.995,0.97649,0.93281,0.31059,0.01456,0.55661,1.2133,0.000929075,0.000929075,0.000929075
71,519.384,0.84223,0.60837,0.14102,0.52218,1.11148,0.96428,1,0.995,0.87229,0.96428,1,0.995,0.96816,0.71155,0.3668,0.01431,0.52277,1.10338,0.000927057,0.000927057,0.000927057
72,526.63,0.89044,0.6553,0.1356,0.53075,1.10828,0.99083,1,0.995,0.87198,0.99083,1,0.995,0.94057,0.58768,0.29383,0.01543,0.3943,1.02823,0.000925013,0.000925013,0.000925013
73,533.77,0.90277,0.62157,0.14412,0.52805,1.12935,0.99125,1,0.995,0.87515,0.99125,1,0.995,0.92528,0.52769,0.33379,0.02238,0.41834,1.04321,0.000922942,0.000922942,0.000922942
74,541.045,0.85445,0.53664,0.12968,0.51971,1.12077,0.99149,1,0.995,0.87647,0.99149,1,0.995,0.96842,0.56249,0.22857,0.03008,0.33709,1.02997,0.000920846,0.000920846,0.000920846
75,548.215,0.79942,0.55839,0.13335,0.51102,1.07837,0.99155,1,0.995,0.91596,0.99155,1,0.995,0.995,0.50092,0.19944,0.02133,0.35444,1.02057,0.000918725,0.000918725,0.000918725
